file_key;clube;pais
"al_shabab_ara";"Al-Shabab";"ARA"
"Al-Shahaniya";"Al-Shahaniya Stadium";"AL-SHAHANIYA"
"al_shoalah_ara";"Al-Shoalah";"ARA"
"al_taee_ara";"Al-Ta'i";"ARA"
"al_taawon_ara";"Al-Taawoun";"ARA"
"alwahda_sir";"Al-Wahda Damasco";"SIR"
"alwahdatripoli_lib";"Al-Wahda Tripoli";"LIB"
"al_wehda_ara";"Al-Wehda";"ARA"
"alwehdat_jor";"Al-Wehdat";"JOR"
"alajuelense_crc";"Alajuelense";"CRC"
"alania_rus";"Alania";"Rússia"
"alanyaspor_tur";"Alanyaspor";"Turquia"
"alashkertyerevan_arm";"Alashkert Yerevan";"ARM"
"alaves_esp";"Alavés";"Espanha"
"albacete_esp";"Albacete";"Espanha"
"linares_esp";"Alberto González";"Espanha"
"AlbinoLeffe_it";"AlbinoLeffe";"IT"
"albion_uru";"Albion";"Uruguai"
"albionrovers_esc";"Albion Rovers";"Escócia"
"albissola_it";"Albissola";"IT"
"alcanenense_por";"Alcanenense";"Portugal"
"alcorcon_esp";"Alcorcón";"Espanha"
"alcoyano_esp";"Alcoyano";"Espanha"
"aldershot_ing";"Aldershot Town";"Inglaterra"
"aldosivi_arg";"Aldosivi";"Argentina"
"lokoplovdiv_bul";"Aleksandar Tunchev";"BUL"
"AlemanniaAachen_ale";"Alemannia Aachen";"Alemanha"
"alessandria_ita";"Alessandria";"Itália"
"alfonsougarte_per";"Alfonso Ugarte";"Peru"
"alfredo_per";"Alfredo Salinas";"Peru"
"gandra_por";"Aliança Gandra";"Portugal"
"alianza_els";"Alianza";"ELS"
"alianzaatletico_per";"Alianza Atlético";"Peru"
"AlianzaCutral_arg";"Alianza Cutral Có";"Argentina"
"alianza_per";"Alianza Huánuco";"Peru"
"alianzalima_per";"Alianza Lima";"Peru"
"alianza_col";"Alianza Petrolera";"Colômbia"
"aljustrelense_por";"Aljustrelense";"Portugal"
"allboys_arg";"All Boys";"Argentina"
"allerheiligen_aut";"Allerheiligen";"Áustria"
"almagro_arg";"Almagro";"Argentina"
"almancilense_por";"Almancilense";"Portugal"
"LokomotiveLeipzig_ale";"Almedin Civa";"Alemanha"
"almerecity_hol";"Almere City";"Holanda"
"AlmereCityII_hol";"Almere City II";"Holanda"
"almeria_esp";"Almería";"Espanha"
"AlmiranteBrown_arg";"Almirante Brown";"Argentina"
"AltayIzmir_tur";"Altay SK";"Turquia"
"altos_pi";"Altos";"Brasil"
"aluminiumarak_iri";"Aluminium Arak";"IRI"
"alvorado_arg";"Alvarado";"Argentina"
"lautaro_chi";"Alvaro Muñoz";"Chile"
"fcalverca_por";"Alverca";"Portugal"
"alwaysready_bol";"Always Ready";"Bolívia"
"alyans_ucr";"Alyans";"Ucrânia"
"amapa_bra";"Amapá";"Brasil"
"amarante_por";"Amarante";"Portugal"
"amazonas_am";"Amazonas FC";"Brasil"
"amazoniaindependente_br";"Amazônia Independente";"Brasil"
"amed_tur";"Amed SK ";"Turquia"
"americacali_col";"América de Cali";"Colômbia"
"america_mex";"América do México";"México"
"americarj_bra";"América RJ";"Brasil"
"americamg_bra";"América-MG";"Brasil"
"americarn";"América-RN";"Brasil"
"americase_bra";"América-SE";"Brasil"
"americanorj_bra";"Americano";"Brasil"
"amiens_fra";"Amiens";"França"
"amkar_rus";"Amkar";"Rússia"
"amorebieta_esp";"Amorebieta";"Espanha"
"AFC_hol";"Amsterdamsche";"Holanda"
"skuamstetten_aut";"Amstetten";"Áustria"
"anadiafc_por";"Anadia";"Portugal"
"AnadoluBagcilar_tur";"Anadolu Bagcılar";"Turquia"
"AnadoluSelcukspor_tur";"Anadolu Selcukspor";"Turquia"
"ananindeua_bra";"Ananindeua";"Brasil"
"anapolina_go";"Anapolina";"Brasil"
"anapolisgo_bra";"Anápolis";"Brasil"
"ancona_ita";"Ancona";"Itália"
"anderlecht_bel";"Anderlecht";"Bélgica"
"Andino_arg";"Andino";"Argentina"
"andraus_bra";"Andraus";"Brasil"
"qingdao_chn";"Andrés Iniesta";"CHN"
"lokomotiv_uzb";"Andrey Fedorov";"UZB"
"Andrezieux_fra";"Andrezieux";"França"
"angers_fr";"Angers";"FR"
"AngersSCOII_fra";"Angers II";"França"
"scangrense_por";"Angrense";"Portugal"
"angusht_rus";"Angusht Nazran";"Rússia"
"AnkaraAdliyespor_tur";"Ankara Adliyespor";"Turquia"
"AnkaraDemirspor_tur";"Ankara Demirspor";"Turquia"
"osmanlispor_tur";"Ankaraspor";"Turquia"
"annanathletic_esc";"Annan Athletic";"Escócia"
"Annecy_fra";"Annecy";"França"
"antalyspor_tur";"Antalyaspor Kulübü";"Turquia"
"antigua_gua";"Antigua GFC";"GUA"
"antofagasta_chi";"Antofagasta";"Chile"
"lugo_esp";"Anxo Carro";"Espanha"
"anzhi_rus";"Anzhi Makhachkala";"Rússia"
"anzhi2_rus";"Anzhi Makhachkala II";"Rússia"
"anzhiyunior_rus";"Anzhi-Yunior";"Rússia"
"platania_gre";"AO Platanias";"Grécia"
"kerkyra_gre";"AOK Kerkyra";"Grécia"
"aparecidense_go";"Aparecidense";"Brasil"
"apoel_chp";"APOEL";"CHP"
"apollonlarissa_gre";"Apollon Larisas";"Grécia"
"apollonlemesos_chp";"Apollon Limassol";"CHP"
"apollonpontou_gre";"Apollon Pontou";"Grécia"
"apollonsmyrnis_gre";"Apollon Smyrnis";"Grécia"
"arabcontractors_egi";"Arab Contractors SC";"Egito"
"arabeunido_pan";"Árabe Unido";"PAN"
"araguaina_to";"Araguaína";"Brasil"
"aragvidusheti_ge";"Aragvi Dusheti";"Geórgia"
"araratmoscou_ba_rus";"Ararat Moscou";"Rússia"
"araraterewan_arm";"Ararat-Armenia";"ARM"
"araruamarj_bra";"Araruama";"Brasil"
"arbroath_esc";"Arbroath";"Escócia"
"arcahaie_hai";"Arcahaie";"HAI"
"arezzo_it";"Arezzo";"IT"
"ArgentinoDeMerlo_arg";"Argentino Merlo";"Argentina"
"ArgentinoDeQuilmes_arg";"Argentino Quilmes";"Argentina"
"ArgentinoDeRosario_arg";"Argentino Rosario";"Argentina"
"argentinojnrs_arg";"Argentinos Juniors";"Argentina"
"arislimassol_chp";"Aris Limassol";"CHP"
"aris_gre";"Aris Thessaloniki";"Grécia"
"armavir_rus";"Armavir";"Rússia"
"arminia_ale";"Arminia Bielefeld";"Alemanha"
"arouca_por";"Arouca";"Portugal"
"Arras_fra";"Arras";"França"
"arsenal";"Arsenal";"ARSENAL"
"arsenalsarandi_arg";"Arsenal de Sarandí";"Argentina"
"arsenal_ucr";"Arsenal Kiev";"Ucrânia"
"arsenaltula_rus";"Arsenal Tula";"Rússia"
"Arsinspor_tur";"Arsinspor";"Turquia"
"aruc";"ARUC";"Brasil"
"asotoho_con";"As Otohô";"CON"
"venus_tai";"AS Vénus";"TAI"
"asaarapiracaal_bra";"ASA";"Brasil"
"asantekotoko_nig";"Asante Kotoko";"NIG"
"diaraf_sen";"ASC Diaraf";"SEN"
"asc-societe-nationale_mtn";"ASC Société et Minière";"MTN"
"ascoli_ita";"Ascoli";"Itália"
"asecmimosas_cma";"ASEC Mimosas";"CMA"
"astana_caz";"Astana";"CAZ"
"asteras_gre";"Asteras Tripolis";"Grécia"
"astonvilla_ing";"Aston Villa";"Inglaterra"
"AstoriaWalldorf_ale";"Astoria Walldorf";"Alemanha"
"ASWH_hol";"ASWH";"Holanda"
"atalanta_it";"Atalanta";"IT"
"atenas_uru";"Atenas";"Uruguai"
"Atenas_arg";"Atenas Rio Cuarto";"Argentina"
"AmiensAC_fra";"Athletic Amiens";"França"
"atleticobilbao_esp";"Athletic Bilbao";"Espanha"
"athleticclub_mg";"Athletic Club";"Brasil"
"afcunited_sue";"Athletic Eskilstuna";"Suécia"
"atleticopr_bra";"Athletico-PR";"Brasil"
"atlanta_arg";"Atlanta";"Argentina"
"atlantaunited_eua";"Atlanta United";"EUA"
"Atlas_arg";"Atlas ";"Argentina"
"atlas_mex";"Atlas Guadalajara";"México"
"atleticoalagoinhas_bra";"Atlético Alagoinhas";"Brasil"
"atleticobaleares_esp";"Atlético Baleares";"Espanha"
"cabermejo_bol";"Atlético Bermejo";"Bolívia"
"Colegiales_Arg";"Atlético Colegiales";"ARG"
"atletico_col";"Atlético de Cali";"Colômbia"
"atleticoibirama_bra";"Atlético de Ibirama";"Brasil"
"atleticomadrid_esp";"Atlético de Madrid";"Espanha"
"sanluis_mex";"Atlético de San Luis";"México"
"atleticograu_per";"Atlético Grau";"Peru"
"atleticohuila_col";"Atlético Huila";"Colômbia"
"AtleticoLagunaBlanca_arg";"Atletico Laguna Blanca";"Argentina"
"atleticominero_per";"Atlético Minero";"Peru"
"nacional_col";"Atlético Nacional";"Colômbia"
"atleticopalmaflor_bol";"Atlético Palmaflor";"Bolívia"
"atleticoporteno_equ";"Atlético Porteño";"Equador"
"atleticocp_por";"Atlético Portugal";"Portugal"
"progreso_uru";"Atlético Progreso";"Uruguai"
"atleticorafaela_arg";"Atletico Rafaela";"Argentina"
"atletico_rr";"Atlético Roraima ";"Brasil"
"atlsantodomingoba_equ";"Atlético Santo Domingo";"Equador"
"atleticotorino_per";"Atlético Torino";"Peru"
"atleticotucaman_arg";"Atlético Tucumán";"Argentina"
"atleticoce_bra";"Atlético-CE";"Brasil"
"atleticogo_bra";"Atlético-GO";"Brasil"
"atleticomg_bra";"Atlético-MG";"Brasil"
"atleticopb_bra";"Atlético-PB";"Brasil"
"atleticopi";"Atlético-PI";"Brasil"
"atom_rus";"Atom";"Rússia"
"atromitos_gre";"Atromitos";"Grécia"
"atsvwolfsberg_aut";"ATSV Wolfsberg";"Áustria"
"atyra_par";"Atyrá";"Paraguai"
"aucas_equ";"Aucas";"Equador"
"auckland_nze";"Auckland City";"NZE"
"audax_chi";"Audax Italiano";"Chile"
"audaxrj_bra";"Audax RJ";"Brasil"
"Auerbach_ale";"Auerbach";"Alemanha"
"AugsburgII_ale";"Augsburg II";"Alemanha"
"clubaurora_bol";"Aurora";"Bolívia"
"austin433_eua";"Austin FC";"EUA"
"austriaklagenfurt_aut";"Austria Klagenfurt";"Áustria"
"austrialustenau_aut";"Austria Lustenau";"Áustria"
"austriasalzburg_aut";"Austria Salzburg";"Áustria"
"austriawien_aut";"Austria Wien";"Áustria"
"austriawienii_aut";"Austria Wien II";"Áustria"
"auxerre_fr";"Auxerre";"FR"
"AuxerreII_fra";"Auxerre II ";"França"
"avai_bra";"Avaí";"Brasil"
"avangard_ucr";"Avangard";"Ucrânia"
"avangard_rus";"Avangard Kursk ";"Rússia"
"avellino_ita";"Avellino";"Itália"
"avenida_bra";"Avenida";"Brasil"
"beziers_fra";"Avenir Béziers";"França"
"avranches_fra";"Avranches";"França"
"avs_por";"AVS Futebol SAD";"Portugal"
"avtofavorit_rus";"Avtofavorit";"Rússia"
"ayacucho_per";"Ayacucho";"Peru"
"Aydinspor1923_tur";"Aydınspor 1923";"Turquia"
"AyrUnited_esc";"Ayr United";"Escócia"
"azalkmaar_hol";"AZ Alkmaar";"Holanda"
"AZAL_aze";"AZAL Baku";"AZE"
"qarabag_aze";"Azersun Arena";"AZE"
"azurizpr_bra";"Azuriz";"Brasil"
"b36torshavn_fro";"B36 Tórshavn";"FRO"
"Babelsberg_ale";"Babelsberg";"Alemanha"
"backa_srb";"Backa Topola";"Sérvia"
"backatopola_srb";"Bačka Topola";"Sérvia"
"badgleichenberg_aut";"Bad Gleichenberg";"Áustria"
"badajoz_esp";"Badajoz";"Espanha"
"badalona_esp";"Badalona";"Espanha"
"bahia";"Bahia";"Brasil"
"bahiafeira_ba";"Bahia de Feira";"Brasil"
"balatown_wal";"Bala Town";"WAL"
"bali_idn";"Bali United";"IDN"
"balkany_ucr";"Balkany Zoria";"Ucrânia"
"ballkani_kos";"Ballkani";"KOS"
"baltika_rus";"Baltika";"Rússia"
"bandirmaspor_tur";"Bandırmaspor";"Turquia"
"banfield_arg";"Banfield";"Argentina"
"bangu";"Bangu ";"Brasil"
"banik_cze";"Baník Ostrava";"CZE"
"banyas_uae";"Baniyas";"UAE"
"BankAhly";"Bank El Ahly";"BANKAHLY"
"BaodingYingliYitong_chn";"Baoding Yingli Yitong";"CHN"
"BaotouNanjiao_chn";"Baotou Nanjiao";"CHN"
"barakaldo_esp";"Barakaldo";"Espanha"
"baraunas_bra";"Baraúnas";"Brasil"
"barcelona_esp";"Barcelona";"Espanha"
"barcelonaba_bra";"Barcelona de Ilhéus";"Brasil"
"barcelona_equ";"Barcelona Guayaquil";"Equador"
"barcelonab_esp";"Barcelona II";"Espanha"
"barcelona_ro";"Barcelona-RO ";"Brasil"
"bare_rr";"Baré";"Brasil"
"Barendrecht_hol";"Barendrecht";"Holanda"
"bari_ita";"Bari";"Itália"
"barnechea_chi";"Barnechea";"Chile"
"barnet_ing";"Barnet";"Inglaterra"
"barnsley_ing";"Barnsley";"Inglaterra"
"barra_sc";"Barra-SC";"Brasil"
"barracascentral_arg";"Barracas Central";"Argentina"
"barranquilla_col";"Barranquilla";"Colômbia"
"barreirense_por";"Barreirense";"Portugal"
"barrow_ing";"Barrow";"Inglaterra"
"barrytown_wal";"Barry Town";"WAL"
"basel_sui";"Basel";"Suíça"
"bassano_ita";"Bassano Virtus";"Itália"
"bastia_fra";"Bastia";"França"
"cabastia_fra";"Bastia-Borgo";"França"
"bateborisov_bie";"BATE Borisov";"BIE"
"BatmanPetrolspor_tur";"Batman Petrolspor";"Turquia"
"BayburtIOI_tur";"Bayburt IOI";"Turquia"
"bayerleverkusen_ale";"Bayer Leverkusen";"Alemanha"
"BayernHof_ale";"Bayern Hof";"Alemanha"
"bayern_ale";"Bayern München";"Alemanha"
"BayernMunchenII_ale";"Bayern Munique II ";"Alemanha"
"Bayrampasaspor_tur";"Bayrampasaspor";"Turquia"
"BBErzurumspor_tur";"BB Erzurumspor";"Turquia"
"BeQuick1887_hol";"Be Quick 1887";"Holanda"
"BeauvaisOise_fra";"Beauvais Oise";"França"
"beerschot_bel";"Beerschot Wilrijk";"Bélgica"
"BIT_chn";"Beijing BIT";"CHN"
"beijingeg_chn";"Beijing BSU";"CHN"
"beijinggoan_chn";"Beijing Guoan";"CHN"
"beijingrenhe_chn";"Beijing Renhe";"CHN"
"beiramar_por";"Beira-Mar";"Portugal"
"BeitarJer_isr";"Beitar Jerusalem";"ISR"
"belavista_bra";"Bela Vista-TO";"Brasil"
"belenenses_pt";"Belenenses";"PT"
"belfort_fra";"Belfort";"França"
"belgrano_arg";"Belgrano";"Argentina"
"BelgranoDeSantaRosa_arg";"Belgrano de Santa Rosa";"Argentina"
"belogorsk_rus";"Belogorsk";"Rússia"
"BenHur_arg";"Ben Hur";"Argentina"
"benevento_ita";"Benevento";"Itália"
"benfica_por";"Benfica";"Portugal"
"benficab_por";"Benfica B";"Portugal"
"bengaluru_ind";"Bengaluru";"IND"
"Berazategui_arg";"Berazategui";"Argentina"
"BergamaBelediye_tur";"Bergama Belediyespor";"Turquia"
"Bergerac_fra";"Bergerac";"França"
"BerlinerAnkaraspor_ale";"Berlin Ankaraspor";"Alemanha"
"BerlinerDynamo_ale";"Berliner Dynamo";"Alemanha"
"berwickrangers_esc";"Berwick Rangers";"Escócia"
"besiktas_tur";"Beşiktaş ";"Turquia"
"betimmg_bra";"Betim";"Brasil"
"bfcdaugavpils_let";"BFC Daugavpils";"Letônia"
"bidvest_afs";"Bidvest Wits";"AFS"
"binacional_per";"Binacional";"Peru"
"biolog_rus";"Biolog Novokubansk";"Rússia"
"birmingham_ing";"Birmingham City";"Inglaterra"
"legion433_eua";"Birmingham Legion";"EUA"
"bisceglie_Ita";"Bisceglie";"ITA"
"bischofshofen_aut";"Bischofshofen";"Áustria"
"hacken_sue";"BK Häcken";"Suécia"
"blackrock_eua";"Black Rock";"EUA"
"blackburn_ing";"Blackburn Rovers";"Inglaterra"
"blackpool_ing";"Blackpool";"Inglaterra"
"blauweisslinz_aut";"Blau Weiss Linz";"Áustria"
"blooming_bol";"Blooming";"Bolívia"
"boaesporte_bra";"Boa Esporte";"Brasil"
"boavista_bra";"Boavista";"Brasil"
"boavista_por";"Boavista";"Portugal"
"bocajuniors_arg";"Boca Juniors";"Argentina"
"bocaraton_eua";"Boca Raton";"EUA"
"bocaunidos_arg";"Boca Unidos";"Argentina"
"bochum_ale";"Bochum";"Alemanha"
"bodoglimt_nor";"Bodø/Glimt";"Noruega"
"Bodrumspor_tur";"Bodrumspor";"Turquia"
"bogota_col";"Bogotá";"Colômbia"
"bohemians_irl";"Bohemian FC";"IRL"
"boldklubben1893_din";"Boldklubben af 1893";"Dinamarca"
"bolivar_bol";"Bolívar";"Bolívia"
"bologna_it";"Bologna";"IT"
"boltfelagi1936_ilh";"Bóltfelagið 1936";"Ilhas Faroé"
"bolton_ing";"Bolton Wanderers";"Inglaterra"
"Boluspor_tur";"Boluspor";"Turquia"
"Bonne_ale";"Bonner";"Alemanha"
"bonnyriggroseba_esc";"Bonnyrigg Rose";"Escócia"
"borac_bih";"Borac Banja Luka";"BIH"
"bordeaux_fr";"Bordeaux";"FR"
"boreham_ing";"Boreham Wood";"Inglaterra"
"borussia_ale";"Borussia Dortmund";"Alemanha"
"BorussiaDortmundII_ale";"Borussia Dortmund II";"Alemanha"
"BorussiaHildesheim_ale";"Borussia Hildesheim";"Alemanha"
"stst_ale";"Borussia M'gladbach II ";"Alemanha"
"monchengladbach_ale";"Borussia Mönchengladbach";"Alemanha"
"bostonbolts_eua";"Boston Bolts";"EUA"
"bostonriver_uru";"Boston River";"Uruguai"
"botafogorj_bra";"Botafogo";"Brasil"
"botafogopb_bra";"Botafogo-PB";"Brasil"
"botafogosp_bra";"Botafogo-SP";"Brasil"
"botev_bul";"Botev Plovdiv";"BUL"
"boulogne_fra";"Boulogne";"França"
"BoulogneBillancourt_fra";"Boulogne Billancourt";"França"
"peronnas_fr";"Bourg-Péronnas";"FR"
"bournemouth_ing";"Bournemouth";"Inglaterra"
"boyaca_col";"Boyacá Chicó";"Colômbia"
"brabrand_din";"Brabrand";"Dinamarca"
"bradford_ing";"Bradford City";"Inglaterra"
"bragab_por";"Braga B";"Portugal"
"bragantino_pa";"Bragantino-PA";"Brasil"
"braintree_ing";"Braintree";"Inglaterra"
"brann_nor";"Brann Bergen";"Noruega"
"pelotas_bra";"Brasil de Pelotas";"Brasil"
"brasilia_df_bra";"Brasilia";"Brasil"
"brasiliense_bra";"Brasiliense";"Brasil"
"bravo_svn";"Bravo";"SVN"
"brazosvalley_eua";"Brazos Valley Cavalry";"EUA"
"brechincity_esc";"Brechin City";"Escócia"
"breidablik_isl";"Breiðablik UBK";"ISL"
"brentford_ing";"Brentford";"Inglaterra"
"brescia_it";"Brescia";"IT"
"brighton_ing";"Brighton & Hove Albion";"Inglaterra"
"brisbaneroar_aus";"Brisbane Roar";"Austrália"
"bristolcity_eng";"Bristol City";"ENG"
"bristolrovers_ing";"Bristol Rovers";"Inglaterra"
"bromley_ing";"Bromley";"Inglaterra"
"brondby_din";"Brøndby IF";"Dinamarca"
"BrownDeAdrogue_arg";"Brown de Adrogué";"Argentina"
"brujas_chi";"Brujas de Salamanca";"Chile"
"brusquesc_bra";"Brusque";"Brasil"
"bucaramanga_col";"Bucaramanga";"Colômbia"
"Bucaspor_tur";"Bucaspor";"Turquia"
"Buchbach_ale";"Buchbach";"Alemanha"
"budapeste_hun";"Budapest Honvéd";"HUN"
"BudissaBautzen_ale";"Budissa Bautzen";"Alemanha"
"buducnost_mon";"Buducnost";"MON"
"dobanovici_srb";"Budućnost Dobanovici";"Sérvia"
"Bugsasspor_tur";"Bugsasspor";"Turquia"
"bunyodkor_uzb";"Bunyodkor";"UZB"
"londerzeel_bel";"Burgemeester Lambertsstadion";"Bélgica"
"burgos_esp";"Burgos";"Espanha"
"buriram_tai";"Buriram United";"TAI"
"burnley_ing";"Burnley";"Inglaterra"
"bursaspor_tur";"Bursaspor";"Turquia"
"burton_ing";"Burton Albion";"Inglaterra"
"bury_ing";"Bury";"Inglaterra"
"bellavista_uru";"CA Bella Vista";"Uruguai"
"cerro_par";"CA Cerro";"Paraguai"
"rentistas_uru";"CA Rentistas";"Uruguai"
"cabofriense_bra";"Cabofriense";"Brasil"
"cachoeiroes_bra";"Cachoeiro";"Brasil"
"cadiz_esp";"Cádiz";"Espanha"
"caen_fr";"Caen";"FR"
"cagliari_it";"Cagliari";"IT"
"CAL_Arg";"CAI";"ARG"
"CalaisRUFC_fra";"Calais";"França"
"caldassc_por";"Caldas";"Portugal"
"caldense_bra";"Caldense";"Brasil"
"camacha_por";"Camacha";"Portugal"
"cambridge_ing";"Cambridge United";"Inglaterra"
"cambuur_hol";"Cambuur";"Holanda"
"cameta_pa";"Cametá";"Brasil"
"campinensepb_bra";"Campinense";"Brasil"
"limianos_por";"Campo do Cruzeiro";"Portugal"
"campomaiorense_por";"Campomaiorense";"Portugal"
"canadian_uru";"Canadian";"Uruguai"
"CanakkaleDardanel_tur";"Canakkale Dardanel";"Turquia"
"canoasrs_bra";"Canoas";"Brasil"
"Canuelas_arg";"Cañuelas";"Argentina"
"Capelle_hol";"Capelle";"Holanda"
"capital_df_bra";"Capital-DF";"Brasil"
"capitalto_bra";"Capital-TO";"Brasil"
"capitaopoco_pa";"Capitão Poço";"Brasil"
"capivariano_bra";"Capivariano";"Brasil"
"capixabaes";"Capixaba";"Brasil"
"capoise_hai";"Capoise";"HAI"
